location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2025-07-06,pm25 (µg/m³),7.6,17.1375,21.4
648,Bklyn - PS 314,KINGS,1128,40.64182,-74.01871,2025-07-06,pm25 (µg/m³),6.6,13.308333,17.1
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1098,40.8161,-73.9022,2025-07-06,o3 (ppm),0.029,0.04781818,0.074
626,Bronx - IS52,New York-Northern New Jersey-Long Island,1102,40.8161,-73.9022,2025-07-06,pm25 (µg/m³),6.5,14.116667,16.7
665,Bronx - IS74,New York-Northern New Jersey-Long Island,1146,40.8147,-73.8867,2025-07-06,pm25 (µg/m³),7.2,17.475,35.7
384,CCNY,New York-Northern New Jersey-Long Island,671,40.8197,-73.9481,2025-07-06,o3 (ppm),0.021,0.047083333,0.078
384,CCNY,New York-Northern New Jersey-Long Island,673,40.8197,-73.9481,2025-07-06,pm25 (µg/m³),7.8,15.375,18.5
625,Manhattan/IS143,New York-Northern New Jersey-Long Island,1097,40.8492,-73.9319,2025-07-06,pm25 (µg/m³),5.6,12.425,17.9
628,Maspeth,New York-Northern New Jersey-Long Island,1103,40.7269,-73.8933,2025-07-06,pm25 (µg/m³),3.2,11.608334,20.7
292229,Morrisania,New York-Northern New Jersey-Long Island,1662910,40.8367,-73.9214,2025-07-06,pm25 (µg/m³),5.4,11.6,15.4
666,Pfizer Lab,New York-Northern New Jersey-Long Island,1147,40.868,-73.8782,2025-07-06,o3 (ppm),0.017,0.047083333,0.081
631,Queens,New York-Northern New Jersey-Long Island,1106,40.7375,-73.8244,2025-07-06,o3 (ppm),0.027,0.047791667,0.067
631,Queens,New York-Northern New Jersey-Long Island,1152,40.7375,-73.8244,2025-07-06,pm25 (µg/m³),10.7,16.275,22.6
