location_id,location_name,locality,sensor_id,sensor_latitude,sensor_longitude,measurement_date,parameter_with_units,minimum_measured_value,average_measured_value,maximum_measured_value
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-10,pm25 (µg/m³),15.4,16.1,16.8
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-11,pm25 (µg/m³),1.2,2.7230768,4.5
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-12,pm25 (µg/m³),0.8,3.825,7.6
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-13,pm25 (µg/m³),2.1,7.36875,12.8
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-16,pm25 (µg/m³),3.5,3.5,3.5
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-22,pm25 (µg/m³),3.7,5.0666666,6.9
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-23,pm25 (µg/m³),3.8,13.5,25.2
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-24,pm25 (µg/m³),6.5,11.058333,13.4
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-25,pm25 (µg/m³),7.2,11.1,16.9
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-26,pm25 (µg/m³),1.7,4.507143,7.0
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-27,pm25 (µg/m³),-0.6,1.8166667,3.0
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-28,pm25 (µg/m³),-2.4,0.58,3.5
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-30,pm25 (µg/m³),-3.1,2.5666666,5.9
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-03-31,pm25 (µg/m³),3.3,5.575,9.9
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-04-01,pm25 (µg/m³),1.6,7.195,12.3
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-04-02,pm25 (µg/m³),-1.3,1.375,4.9
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-04-03,pm25 (µg/m³),2.1,2.1,2.1
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-05-12,pm25 (µg/m³),13.2,14.85,16.5
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-05-21,pm25 (µg/m³),3.3,3.3,3.3
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-06-09,pm25 (µg/m³),1.1,1.1,1.1
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-06-17,pm25 (µg/m³),-4.0,7.0,17.7
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-06-19,pm25 (µg/m³),4.0,5.2,6.4
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-03,pm25 (µg/m³),-0.2,1.5,3.2
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-04,pm25 (µg/m³),-2.0,2.6111112,8.5
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-05,pm25 (µg/m³),5.7,6.1,6.5
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-08,pm25 (µg/m³),4.3,4.3,4.3
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-14,pm25 (µg/m³),1.9,2.35,2.8
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-15,pm25 (µg/m³),-0.5,3.56,7.8
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-16,pm25 (µg/m³),2.7,5.769231,11.9
664,Bklyn - PS274,New York-Northern New Jersey-Long Island,1145,40.6944,-73.9286,2016-08-17,pm25 (µg/m³),-2.6,-0.6363636,1.4
